model,family,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass,run_ids
GPT55,X05,C,2,2,0,2,2,0,2,0,0,38f77ba121acec1d12e81951;e83b600e2abde1b605547e2c
GPT55,X05,I,2,2,0,2,2,0,2,0,0,608398c6d37f46e516e0d3f4;efcb679f0bb6ee81ca77d152
GPT55,X05,B,2,2,0,2,2,0,2,0,0,06cee2500d24f0e84e3de94b;e764792fc60c81be1cfb7f82
GPT55,X06,N,2,2,0,2,2,0,2,0,0,ac01cae3ce449fb3c54b6ffe;19f19dbf221e54435f25c3fa
GPT55,X06,C,2,2,0,2,0,2,0,0,0,d498e7890a9a2e2e9fe19892;541450949261dcd40391b534
GPT55,X06,I,2,2,0,2,2,0,2,0,0,f4efcee7a2e3d772bea1dfa0;af71f64ad0fc6fbac61bf89a
GPT55,X06,B,2,2,0,2,2,0,2,0,0,d16048f444b04b3ce68c2d87;6f19a40bb04f472e8df11100
GPT55,X11,N,2,2,0,2,2,0,2,0,0,d0d6eec491c1feca2ab34c65;32bedde85d91ce7f02c0e080
GPT55,X11,C,2,2,0,2,0,2,0,0,0,afc514ac8bba0bccf906861f;f92c4a2471e64628da6afc77
GPT55,X11,I,2,2,0,2,2,0,2,0,0,69725139b5576ba7571bbf30;60031b5b8a44b670d6f57b88
GPT55,X11,B,2,2,0,2,2,0,2,0,0,1c8028543822ef40880d5f36;846041505f7a864c203ea1be
GPT55,X20,N,2,2,0,2,2,0,2,0,0,289d603259e3eb9ac47d0355;7918f1606c3c20dfc91bcde6
GPT55,X20,C,2,2,0,2,2,0,2,0,0,169fb58374da74bd21996f4c;b6e466800a7e91b56e7f9be0
GPT55,X20,I,2,2,0,2,2,0,2,0,0,8ffc5babf5fed378ff37e6d6;947d65c50244f47af3c7941f
GPT55,X20,B,2,2,0,2,2,0,2,0,0,458b3e1e2b11bf313b1e3c52;e742b1a2dddf683f05adb1f1
GPT55,X24,N,2,2,0,2,2,0,2,0,0,891b0e811fca4420b6c9498f;82b017ae3c1f587dd27b9910
GPT55,X24,C,2,2,0,2,2,0,2,0,0,fca4138da29e6c5c16b036e6;e479c9f31098126618eda6d8
GPT55,X24,I,2,2,0,2,2,0,2,0,0,f6587a0d3e65abcf820b9b4b;cb5a12b41e0e9da0fd47af34
GPT55,X24,B,2,2,0,2,2,0,2,0,0,940bf15ef254575acdbeba69;6f063bf66b4dec4e96f6ab68
GPT55,X28,N,2,1,1,1,1,0,1,0,0,5580d7f0ed934eb29853ba79;3d6b2fd185889a524fdaccf5
GPT55,X28,C,2,1,1,1,1,0,1,0,0,6827660a07b00ec6c3765847;52e3e7919286bf804d5327a9
GPT55,X28,I,2,0,2,0,0,0,0,0,0,3c7b0ffe43b2130be504f689;ff65e9104930b5bb4ed90e90
