version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,Luna,C-I,X02,0.5,0.0,0.0,R0155;R0156;R0157;R0158,d6bd51a9fc7f2556ee4b3448;8dfe5ebf607c6a93fe88298c;c64b5590ce163c7c052056a0;d95c0c35f37c939a24ac4a25
original,all13,Luna,C-I,X05,0.0,0.0,0.0,R0163;R0164;R0165;R0166,a84e48dc3967e80fd84c8908;5fce44bbdf32effde96ccfc7;7d95a888a8d55c0131161129;1d7a958cfca5fd5aac80bfe3
original,all13,Luna,C-I,X11,0.0,-1.0,1.0,R0179;R0180;R0181;R0182,8bbc7e525f4ea007647837b6;6048690adc45fa68c0bd8e48;ac791bce2a30acc3ef3e6aa5;f4e8959458c2ee669240c3c3
original,all13,Luna,C-I,X20,-0.5,0.0,0.0,R0187;R0188;R0189;R0190,b798dc07320ef4857ecc6556;515f2c81dbd5894ad961216b;660873ed0132c8ebf161f15e;47d9a552e1db59df25f34b79
original,all13,Luna,C-I,X24,0.5,0.0,0.0,R0195;R0196;R0197;R0198,89b02f40e7e1c551b2e01fad;91cf30fff79a01f84a7e43dc;32b99c5b1b2143df8367ceca;e6d110e649584901537e831a
original,all13,Terra,C-N,F01,0.0,-1.0,1.0,R0211;R0212;R0215;R0216,2c8adbc5bc4bc9d039e84dfe;284c0c7565be7fb829d73ce4;2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c
original,all13,Terra,C-N,F02,0.0,0.0,0.0,R0219;R0220;R0223;R0224,29acac044a958ba8be3066a8;b1e8e2e4e6fe841956533868;abc78c7790d4b751fd8cc7be;f6a33b9de8808dc42de88244
original,all13,Terra,C-N,F04,0.0,0.0,0.0,R0227;R0228;R0231;R0232,08e54cd46cf155b0a7589bf4;e9c7575f00f390577297f6f8;003273dafef5c774314a5158;47113cf5ce8e50423a5cf6e0
original,all13,Terra,C-N,F08,0.0,0.5,-0.5,R0235;R0236;R0239;R0240,658cc6b17edbb4d54bef4a26;d615a6e968062fcf51d6f37a;58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1
original,all13,Terra,C-N,F17,0.0,0.0,0.0,R0243;R0244;R0247;R0248,37dd660dbee5aafc77478991;16c6692dfea46b26c4f08a26;18307164654f717e628f8801;813c1a6bdeb8691f7a2e09a9
original,all13,Terra,C-N,F20,0.0,-0.5,0.5,R0251;R0252;R0255;R0256,bbc903267bb754c4fb1233c2;9566a806691b147de62ee0a6;15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
original,all13,Terra,C-N,X02,-0.5,0.0,0.0,R0259;R0260;R0263;R0264,364f31375ec7eb9ff3343500;2da3f792449f456b380f1930;214707333d12ef01e7587d99;91eddb7566459c421f5fcef0
original,all13,Terra,C-N,X05,0.0,0.0,0.0,R0267;R0268;R0271;R0272,b0bc92bac75ec4c6c53e05d1;a812ccccf8991c76cd3c18b5;1e8dd4dd511257bb6cfcf235;66522a4e0a6640c56b8c5caf
original,all13,Terra,C-N,X06,0.0,0.5,-0.5,R0275;R0276;R0279;R0280,1c45ce8b3fa24653a9653f98;c4bb3b5b9035da5c0423d971;21aa3505eae03dbb7c2f083e;cbd52953072b0a49654c4bae
original,all13,Terra,C-N,X11,0.0,0.0,0.0,R0283;R0284;R0287;R0288,ce80173624f71b3e5de6323b;53d3d98ec7c8027297c80981;6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
original,all13,Terra,C-N,X20,0.0,0.0,0.0,R0291;R0292;R0295;R0296,05c83b4ed4f5d471f0a62c5c;57a511776dc0d2bdb7a3e9fb;82411d1b0432ca0da0d35dfd;51af388469f211dd8a256759
original,all13,Terra,C-N,X24,0.0,0.0,0.0,R0299;R0300;R0303;R0304,9242bdbbc561fd496008d943;28c3255750ea6b80d33130df;46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
original,all13,Terra,I-N,F01,0.0,0.0,0.0,R0213;R0214;R0215;R0216,451f6b33f7a9c3e0a5737763;5b2fa0a9f5ae551098cb62ec;2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c
