model,family,condition,run_ids,same_U,same_F,same_S
Terra,F01,N,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c,True,True,True
Terra,X20,N,51af388469f211dd8a256759;82411d1b0432ca0da0d35dfd,True,True,True
Terra,X20,C,57a511776dc0d2bdb7a3e9fb;05c83b4ed4f5d471f0a62c5c,True,True,True
Terra,X20,I,169d235cf7cb54f31a163d6f;f738be227ad438672b96c6f4,True,True,True
Terra,X20,B,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93,True,True,True
Terra,X24,N,46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9,True,True,True
Terra,X24,C,9242bdbbc561fd496008d943;28c3255750ea6b80d33130df,True,True,True
Terra,X24,I,6a85f6097165b2809138a775;9561a5f1e429658272899e0f,True,True,True
Terra,X24,B,7337f315c571e66620c16902;15dd585e51f5277650976544,True,True,True
Spark,F01,C,e197bc750e980538c52bd044;69d3462189be34f291f6f890,True,True,True
Spark,F01,I,03bcfd693efa3748eb81e71f;bd28268783d44bda66dce6b3,True,True,True
Spark,F02,N,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b,True,True,True
Spark,F02,C,63a09e201c5359fda0c8e1bf;16095fa94e31d92530fdee47,False,True,False
Spark,F02,I,053b7d23da848fed73ce2174;58c90e03447565432ffae239,False,True,False
Spark,F02,B,a1c6d61ac2724042e33def8f;24ab504b31988f1e486ac794,False,True,False
Spark,F04,B,62e9590617e9309166dd63f8;9ca5621109e9d2f74d7654b2,True,True,True
Spark,F08,B,69b841f9e0d59e6e847e82ee;7d7c12a7333261be33cb3a4f,False,True,False
Spark,F17,N,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1,True,True,True
Spark,F17,C,de317b91b9c25c43989bddf8;25921a6451652b9345ed330c,False,True,False
Spark,F17,I,c2c80e049ba9dabc055d89c6;1ecbbd5d5b742e02175b1cbf,True,True,True
Spark,F20,C,4c315b5f90874e27973d2ea7;c82e4c7aa873c04b270a03f2,True,True,True
Spark,F20,I,be7f7285dc971221b89d3c73;57d4959412735f1fe6ead3d8,True,True,True
Spark,X05,B,cafffde87eef32434c60f551;72f1eb2298ba89e87c468d61,True,True,True
Spark,X06,B,4274800eb828e7c968171489;3d5b31a2aea30f92ddb3e7f5,True,True,True
Spark,X11,N,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9,True,True,True
Spark,X11,C,6ffbec1d96832358a0e9f071;a09c2cf49599b8c6980414a3,True,True,True
Spark,X11,I,c2d01b2a7d273c844a630f0e;8203305788376b039dff4ec9,True,True,True
Spark,X20,N,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa,False,True,False
Spark,X20,C,ea3d2b912a4359c225f3e802;56930bf46c595da6023b3e2d,True,True,True
Spark,X20,I,419c834acdc0fae3b7630fc6;229b305cbd804a01db628e39,True,True,True
Spark,X24,C,38f20ea5183fac8d6f52c95b;db2949d7a9ee125de72a3d8b,True,True,True
Luna,F01,N,81c25197515e22d5ce8b2a38;868d93f42c626858daa25bdc,True,True,True
Luna,F01,C,85ce1c665275ecc6aee3d88c;1e1ac330571e4ab519d2d06d,True,True,True
Luna,F01,I,7bf1a3b8dad2b0465f543282;749626191b98cd27805f52b0,True,True,True
Luna,F01,B,28d21fb572e3d4b36cf757ae;644673d56fa8bd6003fd8595,True,True,True
Luna,F02,N,985144b6456aa9b15f3e46b3;727b30b5c9e01bb32800fe66,True,True,True
Luna,F02,C,792bfc0139c3daf285c65304;15bdb1ce0e9363f3e77b2443,True,True,True
Luna,F02,I,bd439ccc02d016d3831e21a4;7f1159c2021751ebb031d62a,True,True,True
Luna,F02,B,7c5f0c37ab2ff2cf419de8ec;79feb9e8ab2968a02d8f42f3,True,True,True
Luna,F04,N,8c00a937f921cc6bc13152ec;8f9ebbd50f39466c2f6d9e8d,True,True,True
Luna,F04,C,1b8e40cefb62ff78b3a044da;d037c8bc1b9124615516345f,True,True,True
Luna,F04,I,f0e5b95cf76e5b6c57de864d;16b578e5aaf05fb79d187fd4,True,True,True
Luna,F04,B,3d5303ef85b1febeb762ac7b;a56e7aa12e6f8153924d009e,True,True,True
Luna,F08,N,b35fad166890b2a25a4b1bdc;72c07ec1f7a5719b29f09904,True,True,True
Luna,F08,C,6f77434722612eee739e2bd5;329d297691fa651a363f3aa3,True,True,True
Luna,F08,I,3fd87da47fa63ec6d13eab79;a07d77e712fa9a1038a82fc6,True,True,True
